"Species","Year","Plot","Subplot","Treat.Code","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable","cover.g","p.mort","PC.G","PC.F","PC.s13"
"Agoseris heterophylla",2016,19,"Grass","W",81,24,6,1,7,95,30,0.291666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,98,"No Grass","C",95,36,16,1,17,95,NA,0.472222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,59,"No Grass","W",78,15,0,0,0,94,NA,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,15,"Grass","W",77,15,0,2,2,94,30,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,56,"No Grass","C",82,25,5,2,7,95,NA,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,37,"No Grass","W",68,35,16,1,17,95,NA,0.485714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,96,"No Grass","C",88,39,13,0,13,95,NA,0.333333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,55,"No Grass","W",70,27,2,4,6,95,NA,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,84,"Grass","C",51,27,10,2,12,95,40,0.444444444444444,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,50,"Grass","C",85,24,5,6,11,95,70,0.458333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,95,"No Grass","D",82,27,6,0,6,95,NA,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,37,"Grass","W",61,26,7,0,7,95,30,0.269230769230769,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,59,"Grass","W",83,25,4,6,10,95,40,0.4,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,49,"No Grass","W",78,34,24,3,27,95,NA,0.794117647058823,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,89,"No Grass","D",75,32,12,0,12,95,NA,0.375,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,23,"No Grass","W",79,35,15,1,17,95,NA,0.485714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,98,"Grass","C",43,18,3,4,7,94,80,0.388888888888889,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,96,"Grass","C",64,44,24,0,24,95,30,0.545454545454545,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,15,"No Grass","W",85,30,5,0,5,95,NA,0.166666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,81,"Grass","D",46,20,0,3,3,95,80,0.15,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,98,"No Grass","C",23,18,6,4,10,94,NA,0.555555555555556,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,99,"Grass","D",78,28,5,14,19,95,90,0.678571428571429,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,17,"No Grass","W",20,15,0,0,0,94,NA,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,82,"Grass","C",68,18,3,2,5,94,45,0.277777777777778,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,49,"Grass","W",71,27,0,6,6,95,90,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,99,"No Grass","D",72,23,2,0,2,95,NA,0.0869565217391304,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,97,"Grass","D",78,33,12,6,18,95,60,0.545454545454545,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,92,"No Grass","C",69,15,0,1,1,94,NA,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,56,"Grass","C",72,21,2,4,6,95,70,0.285714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,30,"Grass","C",71,27,6,2,8,95,35,0.296296296296296,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,92,"No Grass","C",92,30,6,0,7,95,NA,0.233333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,18,"No Grass","C",84,15,0,1,1,94,NA,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,19,"No Grass","W",95,21,8,0,8,95,NA,0.380952380952381,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,55,"No Grass","W",79,15,0,0,0,94,NA,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,50,"No Grass","C",94,15,0,4,4,94,NA,0.266666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,30,"No Grass","C",64,26,4,1,5,95,NA,0.192307692307692,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,92,"Grass","C",51,15,0,5,5,94,100,0.333333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,49,"No Grass","W",55,19,12,1,13,94,NA,0.684210526315789,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,18,"No Grass","C",74,25,7,0,7,95,NA,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942
