"Species","Year","Plot","Subplot","Treat.Code","germ.tot","germ.proj","tot.mort","viable","p.mort","PC.G","PC.F","PC.s13","p.germ","obs"
"Agoseris heterophylla","2016",37,"No Grass","W",68,35,17,95,0.485714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.715789473684211,34
"Agoseris heterophylla","2016",96,"No Grass","C",88,39,13,95,0.333333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.926315789473684,35
"Agoseris heterophylla","2016",55,"No Grass","W",70,27,6,95,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.736842105263158,36
"Agoseris heterophylla","2016",84,"Grass","C",51,27,12,95,0.444444444444444,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.536842105263158,37
"Agoseris heterophylla","2016",50,"Grass","C",85,24,11,95,0.458333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.894736842105263,38
"Agoseris heterophylla","2016",95,"No Grass","D",82,27,6,95,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.863157894736842,39
"Agoseris heterophylla","2016",37,"Grass","W",61,26,7,95,0.269230769230769,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.642105263157895,40
"Agoseris heterophylla","2016",59,"Grass","W",83,25,10,95,0.4,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.873684210526316,41
"Agoseris heterophylla","2016",49,"No Grass","W",78,34,27,95,0.794117647058823,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.821052631578947,42
"Agoseris heterophylla","2016",89,"No Grass","D",75,32,12,95,0.375,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.789473684210526,43
"Agoseris heterophylla","2016",23,"No Grass","W",79,35,17,95,0.485714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.831578947368421,44
"Agoseris heterophylla","2017",98,"Grass","C",43,18,7,94,0.388888888888889,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.457446808510638,45
"Agoseris heterophylla","2016",96,"Grass","C",64,44,24,95,0.545454545454545,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.673684210526316,46
"Agoseris heterophylla","2016",15,"No Grass","W",85,30,5,95,0.166666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.894736842105263,47
"Agoseris heterophylla","2016",81,"Grass","D",46,20,3,95,0.15,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.484210526315789,48
"Agoseris heterophylla","2017",98,"No Grass","C",23,18,10,94,0.555555555555556,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.24468085106383,49
"Agoseris heterophylla","2016",99,"Grass","D",78,28,19,95,0.678571428571429,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.821052631578947,50
"Agoseris heterophylla","2017",17,"No Grass","W",20,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.212765957446809,51
"Agoseris heterophylla","2017",82,"Grass","C",68,18,5,94,0.277777777777778,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.723404255319149,52
"Agoseris heterophylla","2016",49,"Grass","W",71,27,6,95,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.747368421052632,53
"Agoseris heterophylla","2016",99,"No Grass","D",72,23,2,95,0.0869565217391304,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.757894736842105,54
"Agoseris heterophylla","2016",97,"Grass","D",78,33,18,95,0.545454545454545,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.821052631578947,55
"Agoseris heterophylla","2017",92,"No Grass","C",69,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.734042553191489,56
